Timestamp,HeartRate,RRI
1757944388711,63,942
1757944389677,62,966
1757944390675,60,998
1757944391655,61,980
1757944392659,59,1004
1757944395002,61,980
1757944395916,65,914
1757944396866,63,950
1757944397842,61,976
1757944398780,63,938
1757944401119,60,1000
1757944402133,59,1014
1757944403087,62,954
1757944404063,61,976
1757944405065,59,1002
1757944407426,62,958
1757944408390,62,964
1757944409378,60,988
1757944410410,58,1032
1757944411356,63,946
1757944413542,69,862
1757944414394,70,852
1757944415242,70,848
1757944416092,70,850
1757944417014,65,922
1757944419215,60,994
1757944420155,63,940
1757944421141,60,986
1757944422187,57,1046
1757944424567,58,1030
1757944425585,58,1018
1757944426609,58,1024
1757944427633,58,1024
1757944429972,61,970
1757944430836,69,864
1757944431764,64,928
1757944432708,63,944
1757944433606,66,898
1757944435847,62,954
1757944436725,68,878
1757944437663,63,938
1757944438613,63,950
1757944439573,62,960
1757944441808,72,826
1757944442672,69,864
1757944443584,65,912
1757944444554,61,970
1757944445550,60,996
1757944447689,61,974
1757944448703,59,1014
1757944449715,59,1012
1757944450727,59,1012
1757944451695,61,968
1757944454040,59,1016
1757944455072,58,1032
1757944456102,58,1030
1757944457110,59,1008
1757944459396,62,954
1757944460424,58,1028
1757944461440,59,1016
1757944462456,59,1016
1757944463434,61,978
1757944465776,60,998
1757944466772,60,996
1757944467708,64,936
1757944468650,63,942
1757944469650,60,1000
1757944472027,63,952
1757944472939,65,912
1757944473873,64,934
1757944474789,65,916
1757944475699,65,910
1757944477990,59,1006
1757944478948,62,958
1757944479864,65,916
1757944480852,60,988
1757944481836,60,984
